time	begin	fail	net_lost	cumhaz	std_err	lb	ub	year_inc
1	509931	16293	39273	0.03195138	0.00025032	0.03146452	0.03244578	0.03195138
2	454365	16006	34930	0.06717857	0.00037442	0.06644871	0.06791644	0.03522719
3	403429	13753	32428	0.10126883	0.00047401	0.10034402	0.10220215	0.03409026
4	357248	11785	30194	0.13425712	0.00056305	0.13315807	0.13536523	0.03298829
5	315269	10119	29681	0.16635352	0.00064718	0.1650899	0.16762681	0.0320964
6	275469	8657	27917	0.19777992	0.00073001	0.19635428	0.19921591	0.0314264
7	238895	7636	26351	0.22974375	0.00081653	0.22814895	0.23134971	0.03196383
8	204908	6621	25244	0.26205582	0.00090797	0.26028226	0.26384146	0.03231207
9	173043	5694	24095	0.29496093	0.00100726	0.29299334	0.29694174	0.03290511
10	143254	4795	22428	0.32843295	0.00111724	0.32625048	0.33063001	0.03347202
